DATE OF BROUGHT DEAD,Deaths
2017-01-05,2
2017-01-10,1
2017-01-11,1
2017-01-12,1
2017-02-04,2
2017-02-12,1
2017-03-06,1
2017-03-12,3
2017-04-04,1
2017-04-05,1
2017-04-07,1
2017-04-08,3
2017-04-09,1
2017-04-17,2
2017-04-18,1
2017-04-19,1
2017-05-06,1
2017-05-13,1
2017-05-14,1
2017-05-15,1
2017-05-20,2
2017-05-23,1
2017-05-27,1
2017-05-28,2
2017-05-31,1
2017-06-04,1
2017-06-05,1
2017-06-06,1
2017-06-12,4
2017-06-13,1
2017-06-16,1
2017-06-22,2
2017-06-25,1
2017-06-28,1
2017-06-29,1
2017-07-08,2
2017-07-12,1
2017-07-16,1
2017-07-17,2
2017-07-19,1
2017-07-20,2
2017-07-24,1
2017-07-31,2
2017-08-04,2
2017-08-06,1
2017-08-07,2
2017-08-08,3
2017-08-11,1
2017-08-12,1
2017-08-15,1
2017-08-16,1
2017-08-17,1
2017-08-19,1
2017-08-21,2
2017-08-22,1
2017-08-23,1
2017-08-25,3
2017-08-29,1
2017-08-30,1
2017-09-04,2
2017-09-05,2
2017-09-08,1
2017-09-15,3
2017-09-16,1
2017-09-17,1
2017-09-19,1
2017-09-22,1
2017-09-28,3
2017-09-29,1
2017-10-05,3
2017-10-06,1
2017-10-10,2
2017-10-17,1
2017-10-24,1
2017-10-25,1
2017-10-26,2
2017-10-27,1
2017-11-04,2
2017-11-05,2
2017-11-12,1
2017-11-15,1
2017-11-17,1
2017-11-20,1
2017-11-21,1
2017-11-22,2
2017-11-25,1
2017-11-26,1
2017-11-27,1
2017-12-04,1
2017-12-05,2
2017-12-07,1
2017-12-10,1
2017-12-11,1
2017-12-13,1
2017-12-14,2
2017-12-15,3
2017-12-16,1
2017-12-18,1
2017-12-19,1
2017-12-21,1
2017-12-25,1
2017-12-26,1
2017-12-28,1
2017-12-29,2
2017-12-30,1
2018-01-02,3
2018-01-03,1
2018-01-04,1
2018-01-09,1
2018-01-10,1
2018-01-15,1
2018-01-16,3
2018-01-17,1
2018-01-18,1
2018-01-19,1
2018-01-20,1
2018-01-24,1
2018-01-25,1
2018-02-03,1
2018-02-04,1
2018-02-05,2
2018-02-07,1
2018-02-08,2
2018-02-09,1
2018-02-10,1
2018-02-13,1
2018-02-14,1
2018-02-18,1
2018-02-19,2
2018-02-20,2
2018-02-22,1
2018-02-23,1
2018-02-24,2
2018-02-25,1
2018-02-26,1
2018-02-27,1
2018-03-01,1
2018-03-10,1
2018-03-11,1
2018-03-13,1
2018-03-16,3
2018-03-18,2
2018-03-19,1
2018-03-22,1
2018-03-23,1
2018-03-24,3
2018-03-27,1
2018-03-30,1
2018-04-04,1
2018-04-11,1
2018-04-12,4
2018-04-15,3
2018-04-16,1
2018-04-18,1
2018-04-20,2
2018-04-21,1
2018-04-22,2
2018-04-28,1
2018-05-01,1
2018-05-02,2
2018-05-12,2
2018-05-14,2
2018-05-16,1
2018-05-20,1
2018-05-22,1
2018-05-26,1
2018-05-29,1
2018-06-01,1
2018-06-02,1
2018-06-03,1
2018-06-04,2
2018-06-05,1
2018-06-07,1
2018-06-08,1
2018-06-09,1
2018-06-10,1
2018-06-12,2
2018-06-13,1
2018-06-15,1
2018-06-22,1
2018-06-25,1
2018-06-26,1
2018-06-27,1
2018-06-30,1
2018-07-01,1
2018-07-04,1
2018-07-08,1
2018-07-11,1
2018-07-12,1
2018-07-30,1
2018-08-01,1
2018-08-04,2
2018-08-09,2
2018-08-10,1
2018-08-15,1
2018-08-17,1
2018-08-21,1
2018-08-28,2
2018-08-31,1
2018-09-03,1
2018-09-04,1
2018-09-07,1
2018-09-09,2
2018-09-11,1
2018-09-14,2
2018-09-20,1
2018-09-21,1
2018-09-22,1
2018-09-24,1
2018-09-27,1
2018-10-02,2
2018-10-03,1
2018-10-04,1
2018-10-05,1
2018-10-08,1
2018-10-12,1
2018-10-15,1
2018-10-17,1
2018-10-21,2
2018-10-22,1
2018-10-23,2
2018-10-24,1
2018-10-27,2
2018-10-28,2
2018-11-01,5
2018-11-03,1
2018-11-10,1
2018-11-14,1
2018-11-15,1
2018-11-16,2
2018-11-18,1
2018-11-19,1
2018-11-24,2
2018-11-25,1
2018-11-26,1
2018-12-03,1
2018-12-05,1
2018-12-10,1
2018-12-16,3
2018-12-17,1
2018-12-19,3
2018-12-20,2
2018-12-21,1
2018-12-22,2
2018-12-23,2
2018-12-24,1
2018-12-25,1
2018-12-26,2
2018-12-27,1
2018-12-29,1
2018-12-30,2
2018-12-31,1
2019-01-17,1
2019-01-18,1
2019-01-21,1
2019-01-25,1
2019-01-26,1
2019-01-31,1
2019-02-01,1
2019-02-16,1
2019-02-24,1
2019-03-28,1
2019-03-31,1
2019-05-01,1
2019-07-02,1
2019-08-02,1
